,county,tweets,contribution,n_poll,fr_unem,fr_votes,total_votes,registered_A_a,registered_A_b,registered_A_c,registered_B_a,registered_B_b,registered_B_c,registered_C_a,registered_C_b,registered_C_c,registered_D_a,registered_D_b,registered_D_c,registered_E_a,registered_E_b,registered_E_c,registered_F_a,registered_F_b,registered_F_c,registered_G_a,registered_G_b,registered_G_c,registered_A,registered_B,registered_C,registered_D,registered_E,registered_F,registered_G,registered_A_a,registered_A_b,registered_A_c,registered_B_a,registered_B_b,registered_B_c,registered_C_a,registered_C_b,registered_C_c,registered_D_a,registered_D_b,registered_D_c,registered_E_a,registered_E_b,registered_E_c,registered_F_a,registered_F_b,registered_F_c,registered_G_a,registered_G_b,registered_G_c,registered_A,registered_B,registered_C,registered_D,registered_E,registered_F,registered_G,voted_A_a,voted_A_b,voted_A_c,voted_B_a,voted_B_b,voted_B_c,voted_C_a,voted_C_b,voted_C_c,voted_D_a,voted_D_b,voted_D_c,voted_E_a,voted_E_b,voted_E_c,voted_F_a,voted_F_b,voted_F_c,voted_G_a,voted_G_b,voted_G_c,voted_A,voted_B,voted_C,voted_D,voted_E,voted_F,voted_G,fr_vote_A_a,fr_vote_A_b,fr_vote_A_c,fr_vote_B_a,fr_vote_B_b,fr_vote_B_c,fr_vote_C_a,fr_vote_C_b,fr_vote_C_c,fr_vote_D_a,fr_vote_D_b,fr_vote_D_c,fr_vote_E_a,fr_vote_E_b,fr_vote_E_c,fr_vote_F_a,fr_vote_F_b,fr_vote_F_c,fr_vote_G_a,fr_vote_G_b,fr_vote_G_c,voted_A,voted_B,voted_C,voted_D,voted_E,voted_F,voted_G,total_registers,latitude,longitude
0,APPLING,0,235818,9,0.160193032,0.695727769,8403,967,1195,0,4077,4618,4,30,30,0,119,131,0,10,5,0,31,54,0,429,375,3,2162,8699,60,250,15,85,807,0.080062924,0.098940222,0,0.3375558867362146,0.38234807087266104,0.000331181,0.002483855,0.002483855,0,0.009852625,0.010846166583871502,0,0.000827952,0.000413976,0,0.00256665,0.004470939,0,0.035519126,0.031048186785891704,0.000248385,0.17900314621626098,0.7202351382679252,0.00496771,0.020698791,0.001241927,0.007037589,0.066815698,502,805,0,3045,3534,3,17,18,0,46,63,0,7,2,0,11,23,0,166,160,1,1307,6582,35,109,9,34,327,0.005191,0.006736,0,0.007469,0.007653,0.0075,0.005667,0.006,0,0.003866,0.004809,0,0.007,0.004,0,0.003548,0.004259,0,0.003869,0.004267,0.003333,0.1555396882065929,0.7832916815423063,0.004165179,0.012971558,0.001071046,0.004046174,0.038914673330953234,12078,31.7492,-82.2889
1,ATKINSON,0,93026,4,0.117002882,0.649241492,3167,400,512,1,1537,1745,1,2,3,0,169,206,2,2,7,0,16,18,0,120,134,3,913,3283,5,377,9,34,257,0.08200082,0.1049610496104961,0.000205002,0.3150881508815088,0.35772857728577284,0.000205002,0.000410004,0.000615006,0,0.034645346,0.042230422,0.000410004,0.000410004,0.001435014,0,0.003280033,0.003690037,0,0.024600246002460024,0.027470274702747027,0.000615006,0.18716687166871668,0.6730217302173022,0.00102501,0.077285773,0.001845018,0.00697007,0.052685526855268554,234,358,1,1062,1246,1,2,1,0,67,93,1,1,2,0,6,6,0,33,52,1,593,2309,3,161,3,12,86,0.00585,0.006992,0.01,0.00691,0.00714,0.01,0.01,0.003333,0,0.003964,0.004515,0.005,0.005,0.002857,0,0.00375,0.003333,0,0.00275,0.003881,0.003333,0.18724344805809914,0.7290811493526997,0.000947269,0.050836754,0.000947269,0.003789075,0.027155036,4878,31.2971,-82.88
2,BACON,0,173074,1,0.115664656,0.672324511,4674,340,559,1,2543,2905,5,8,10,0,58,53,0,3,3,0,18,22,0,235,188,1,900,5453,18,111,6,40,424,0.048906789413118525,0.080408516,0.000143843,0.3657940161104718,0.4178653624856157,0.000719217,0.001150748,0.001438435,0,0.008342923,0.007623705,0,0.00043153,0.00043153,0,0.002589183,0.003164557,0,0.033803222,0.027042578,0.000143843,0.12945914844649023,0.7843785960874569,0.002589183,0.015966628,0.000863061,0.00575374,0.060989643,132,269,0,1845,2164,2,5,6,0,24,24,0,1,2,0,5,12,0,97,86,0,401,4011,11,48,3,17,183,0.003882,0.004812,0,0.007255,0.007449,0.004,0.00625,0.006,0,0.004138,0.004528,0,0.003333,0.006667,0,0.002778,0.005455,0,0.004128,0.004574,0,0.085793753,0.8581514762516046,0.002353445,0.010269576379974325,0.000641849,0.003637142,0.03915276,6952,31.5537,-82.4527
3,BAKER,0,72226,5,0.179682101,0.682852143,1561,412,517,0,575,621,0,5,7,0,8,15,0,1,1,0,5,7,0,61,51,0,929,1196,12,23,2,12,112,0.18022747156605423,0.22615923009623798,0,0.2515310586176728,0.27165354330708663,0,0.002187227,0.003062117,0,0.003499563,0.00656168,0,0.000437445,0.000437445,0,0.002187227,0.003062117,0,0.026684164,0.022309711,0,0.40638670166229224,0.5231846019247594,0.005249344,0.010061242344706912,0.000874891,0.005249344,0.048993875765529306,237,361,0,440,451,0,4,6,0,5,5,0,1,1,0,1,3,0,17,29,0,598,891,10,10,2,4,46,0.005752,0.006983,0,0.007652,0.007262,0,0.008,0.008571,0,0.00625,0.003333,0,0.01,0.01,0,0.002,0.004286,0,0.002787,0.005686,0,0.3830877642536835,0.5707879564381807,0.00640615,0.00640615,0.00128123,0.00256246,0.029468289557975657,2286,31.3262,-84.4447
4,BALDWIN,2,927608,14,0.173954373,0.673199736,18342,4601,6382,5,6592,7489,14,110,141,0,107,128,1,18,15,1,85,120,0,772,661,4,10988,14095,251,236,34,205,1437,0.16886882478161933,0.23423621816046392,0.000183513,0.2419437715627982,0.27486603538134036,0.000513837,0.00403729,0.005175072,0,0.003927182,0.004697937,3.6702635249210895e-05,0.000660647,0.00055054,3.6702635249210895e-05,0.003119724,0.004404316,0,0.028334434,0.024260442,0.000146811,0.4032885561183293,0.5173236438376275,0.009212361,0.008661822,0.00124789,0.00752404,0.052741687,2564,4310,3,4885,5601,10,61,88,0,61,82,0,8,8,0,42,62,0,258,297,2,6877,10496,149,143,16,104,557,0.005573,0.006753,0.006,0.00741,0.007479,0.007143,0.005545,0.006241,0,0.005701,0.006406,0,0.004444,0.005333,0,0.004941,0.005167,0,0.003342,0.004493,0.005,0.37493185039799365,0.5722385781267038,0.008123433,0.007796314,0.000872315,0.005670047,0.030367463,27246,33.0693,-83.2496
5,BANKS,0,372006,13,0.077520455,0.671566761,8817,149,121,2,5578,5788,10,56,64,1,154,144,0,15,11,0,59,49,0,517,407,4,272,11376,121,298,26,108,928,0.011348922,0.009216239,0.000152335,0.4248609947444588,0.44085612,0.000761673,0.004265367,0.004874705,7.616726331022927e-05,0.011729758549775307,0.010968085916673014,0,0.001142509,0.00083784,0,0.004493869,0.003732196,0,0.039378475,0.031000076,0.000304669,0.020717496,0.8664787874171681,0.009216239,0.022697844,0.001980349,0.008226064,0.07068322,64,71,1,3867,4135,6,26,34,1,82,76,0,8,6,0,28,26,0,216,168,2,136,8008,61,158,14,54,386,0.004295,0.005868,0.005,0.006933,0.007144,0.006,0.004643,0.005312,0.01,0.005325,0.005278,0,0.005333,0.005455,0,0.004746,0.005306,0,0.004178,0.004128,0.005,0.015424748,0.9082454349552002,0.006918453,0.017919927,0.001587842,0.006124532,0.043779063,13129,34.3543,-83.4972
6,BARROW,0,1153644,8,0.043039408,0.650787139,38073,3019,3634,8,19501,21337,55,761,802,6,1547,1694,9,61,65,0,376,451,1,2721,2431,24,6661,40893,1569,3250,126,828,5176,0.051604191238056166,0.062116472659521735,0.000136745,0.3333333333333333,0.36471633933302566,0.000940123,0.01300788,0.013708698699212006,0.000102559,0.026443088388629642,0.028955780045467755,0.000153838,0.001042682,0.001111054,0,0.006427021,0.007709006,1.7093140522708237e-05,0.046510435,0.041553425,0.000410235,0.11385740902175957,0.698989795,0.026819137480129224,0.055552706698801774,0.002153736,0.014153120352802421,0.088474095,1617,2506,6,13321,15245,44,253,349,5,739,1018,5,33,34,0,187,271,0,1185,1238,17,4129,28610,607,1762,67,458,2440,0.005356,0.006896,0.0075,0.006831,0.007145,0.008,0.003325,0.004352,0.008333,0.004777,0.006009,0.005556,0.00541,0.005231,0,0.004973,0.006009,0,0.004355,0.005093,0.007083,0.10844955742914926,0.7514511596144249,0.015943057,0.046279516,0.001759777,0.012029522233603866,0.064087411,58503,33.9932,-83.7127
7,BARTOW,49,1890300,17,0.056321433,0.647087385,50643,3480,4111,7,28395,30757,68,256,262,2,1243,1287,0,89,94,0,447,450,2,3857,3430,26,7598,59220,520,2530,183,899,7313,0.044465456,0.052528015,8.944200963418218e-05,0.3628151233660861,0.3929954129026488,0.000868865,0.003271022,0.003347687,2.5554859895480622e-05,0.015882345425041206,0.016444552,0,0.001137191,0.001201078,0,0.005711511,0.005749843,2.5554859895480622e-05,0.049282547,0.043826585,0.000332213,0.097082913,0.7566794015051812,0.006644264,0.032326898,0.00233827,0.01148691,0.093441345,1660,2554,5,19338,21544,49,153,174,1,600,727,0,44,47,0,207,257,1,1645,1625,12,4219,40931,328,1327,91,465,3282,0.00477,0.006213,0.007143,0.00681,0.007005,0.007206,0.005977,0.006641,0.005,0.004827,0.005649,0,0.004944,0.005,0,0.004631,0.005711,0.005,0.004265,0.004738,0.004615,0.083308651,0.8082262109274727,0.00647671,0.026203029046462493,0.001796892,0.009181921,0.064806587,78263,34.2377,-84.8404
8,BEN HILL,0,314126,2,0.129246677,0.609950065,6596,1504,2216,4,2928,3376,5,29,28,0,83,107,0,7,7,0,30,43,0,216,227,4,3724,6309,57,190,14,73,447,0.13907897170334751,0.20491954873312374,0.000369891,0.27076012576289993,0.3121879045681524,0.000462364,0.002681709,0.002589236,0,0.007675236,0.009894581,0,0.000647309,0.000647309,0,0.002774182,0.003976327,0,0.019974107638246717,0.020991307564268542,0.000369891,0.34436841131866097,0.5834103939337896,0.005270945,0.017569816904013318,0.001294618,0.006750509,0.041335306,674,1324,2,1963,2307,4,19,17,0,27,54,0,2,4,0,13,22,0,73,90,1,2000,4274,36,81,6,35,164,0.004481,0.005975,0.005,0.006704,0.006834,0.008,0.006552,0.006071,0,0.003253,0.005047,0,0.002857,0.005714,0,0.004333,0.005116,0,0.00338,0.003965,0.0025,0.30321406913280774,0.6479684657368102,0.005457853,0.012280169799878714,0.000909642,0.005306246,0.024863553668890235,10814,31.7598,-83.2205
9,BERRIEN,2,374028,5,0.109247904,0.636110656,7772,563,684,1,4831,5222,11,21,22,0,96,102,0,19,19,0,48,41,1,283,249,5,1248,10064,43,198,38,90,537,0.046079555,0.055982975937141924,8.18464560484531e-05,0.39540022917007694,0.4274021934850221,0.000900311,0.001718776,0.001800622,0,0.00785726,0.008348339,0,0.001555083,0.001555083,0,0.00392863,0.003355705,8.18464560484531e-05,0.023162547061712228,0.020379767556064823,0.000409232,0.10214437714846947,0.823702734,0.003519398,0.016205598297593715,0.003110165,0.007366181,0.043951547,242,411,1,3199,3506,7,9,11,0,35,50,0,9,7,0,19,16,1,119,127,3,654,6712,20,85,16,36,249,0.004298,0.006009,0.01,0.006622,0.006714,0.006364,0.004286,0.005,0,0.003646,0.004902,0,0.004737,0.003684,0,0.003958,0.003902,0.01,0.004205,0.0051,0.006,0.084148224,0.8636129696345857,0.00257334,0.010936695831188883,0.002058672,0.004632012,0.032038085434894496,12218,31.276,-83.2296
