,tweet_id,county
7,1.3165499726162698e+18,DeKalb County
10,1.3165567113947628e+18,Walton County
14,1.3165671980690678e+18,Dodge County
21,1.3166508673664696e+18,Cobb County
25,1.3167071251255788e+18,Bartow County
26,1.3167075563001242e+18,Dawson County
36,1.3167372800741868e+18,Gwinnett County
37,1.3167374430607565e+18,Walton County
45,1.3167611321792225e+18,Henry County
49,1.3167874180544307e+18,Cobb County
55,1.3168051765571748e+18,DeKalb County
63,1.316831353846018e+18,Long County
64,1.316831802829439e+18,Long County
65,1.3168323915252736e+18,Fulton County
66,1.3168325640118272e+18,Long County
67,1.3168335337475072e+18,Long County
72,1.316847951931736e+18,Fulton County
75,1.316853885177344e+18,Gilmer County
76,1.3168538878699684e+18,Gilmer County
81,1.3169003084135342e+18,Fulton County
86,1.316902961226928e+18,Gwinnett County
105,1.316914489648943e+18,Dodge County
117,1.3169295881325363e+18,Dodge County
124,1.3169678882810225e+18,Cobb County
134,1.317055840554287e+18,Long County
135,1.317063079277056e+18,Dade County
136,1.3170689644182323e+18,Bartow County
138,1.3170842084021903e+18,Cobb County
144,1.3170996304427786e+18,Dodge County
148,1.3171421969031578e+18,Cobb County
150,1.3171444753539932e+18,Cobb County
151,1.317146555820933e+18,Cobb County
157,1.3171671717310996e+18,Gwinnett County
166,1.317195881158865e+18,Henry County
175,1.3172128128218604e+18,Cobb County
176,1.317228810522235e+18,Dodge County
177,1.317237566576464e+18,Long County
178,1.3172378951540613e+18,Long County
179,1.3172381247460188e+18,Long County
186,1.3172590087393362e+18,Dodge County
191,1.3172768794732872e+18,Dodge County
193,1.3172954389999903e+18,Cobb County
200,1.3173318348884787e+18,Lumpkin County
208,1.3174519334106153e+18,Bartow County
221,1.3175227591661855e+18,Long County
226,1.317568637767766e+18,Cobb County
231,1.3175902712956887e+18,Chattooga County
232,1.31761383625864e+18,Dodge County
235,1.3176304456563958e+18,Dodge County
236,1.3176402578489385e+18,Dodge County
237,1.3176403548758016e+18,Long County
239,1.3176580963034726e+18,Cobb County
244,1.3177308676918518e+18,Toombs County
246,1.3177706485933343e+18,Bartow County
247,1.31777310545306e+18,Bartow County
255,1.3178488485770117e+18,Gwinnett County
257,1.3178669002826383e+18,Gwinnett County
258,1.317867257477976e+18,Dodge County
262,1.317876571563303e+18,Fulton County
267,1.317895621634818e+18,Gwinnett County
272,1.3179281072240148e+18,DeKalb County
273,1.3179365923134464e+18,Long County
274,1.3179369161935135e+18,Long County
275,1.3179373627778867e+18,Long County
276,1.3179396038322463e+18,Long County
278,1.3179410314977976e+18,Long County
279,1.317946501277098e+18,Long County
288,1.3180037750518047e+18,Brooks County
301,1.318156119278342e+18,Camden County
302,1.318157042612392e+18,Bartow County
308,1.31817887404433e+18,Gwinnett County
309,1.3181820714042982e+18,Cobb County
311,1.3181865234145894e+18,Henry County
316,1.3182108122011648e+18,Henry County
319,1.318226692440232e+18,Henry County
