COUNTY NAME,COUNTY CODE,BLACK MALE,BLACK FEMALE,BLACK UNKNOWN,WHITE MALE,WHITE FEMALE,WHITE UNKNOWN,ASIA-PI MALE,ASIA-PI FEMALE,ASIA-PI UNKNOWN,HISP-LT MALE,HISP-LT FEMALE,HISP-LT UNKNOWN,NATIVE-AM MALE,NATIVE-AM FEMALE,NATIVE-AM UNKNOWN,OTHER MALE,OTHER FEMALE,OTHER UNKNOWN,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN UNKOWN,TOTAL VOTERS
APPLING,1,502,805,0,3045,3534,3,17,18,0,46,63,0,7,2,0,11,23,0,166,160,1,8403
ATKINSON,2,234,358,1,1062,1246,1,2,1,0,67,93,1,1,2,0,6,6,0,33,52,1,3167
BACON,3,132,269,0,1845,2164,2,5,6,0,24,24,0,1,2,0,5,12,0,97,86,0,4674
BAKER,4,237,361,0,440,451,0,4,6,0,5,5,0,1,1,0,1,3,0,17,29,0,1561
BALDWIN,5,2564,4310,3,4885,5601,10,61,88,0,61,82,0,8,8,0,42,62,0,258,297,2,18342
BANKS,6,64,71,1,3867,4135,6,26,34,1,82,76,0,8,6,0,28,26,0,216,168,2,8817
BARROW,7,1617,2506,6,13321,15245,44,253,349,5,739,1018,5,33,34,0,187,271,0,1185,1238,17,38073
BARTOW,8,1660,2554,5,19338,21544,49,153,174,1,600,727,0,44,47,0,207,257,1,1645,1625,12,50643
BEN HILL,9,674,1324,2,1963,2307,4,19,17,0,27,54,0,2,4,0,13,22,0,73,90,1,6596
BERRIEN,10,242,411,1,3199,3506,7,9,11,0,35,50,0,9,7,0,19,16,1,119,127,3,7772
BIBB,11,12771,21582,14,14588,17243,25,441,434,3,250,408,1,48,68,0,288,445,2,1201,1381,19,71212
BLECKLEY,12,333,595,0,2171,2402,1,15,16,0,14,15,0,4,2,0,16,21,0,68,56,1,5730
BRANTLEY,13,60,107,0,3399,3817,4,6,6,0,16,16,0,10,6,0,20,26,0,128,102,2,7725
BROOKS,14,817,1351,0,2106,2336,3,8,16,0,30,59,0,2,8,0,26,36,1,134,172,0,7105
BRYAN,15,1164,1573,6,7308,8263,23,136,178,1,278,360,1,36,27,0,130,203,1,741,840,19,21288
BULLOCH,16,2278,3806,8,9947,11227,24,95,141,0,160,197,0,19,17,1,134,169,0,1025,968,10,30226
BURKE,17,1727,2818,2,2673,2871,6,13,19,0,27,46,0,10,6,0,34,39,0,221,238,1,10751
BUTTS,18,915,1444,3,4015,4493,7,8,23,0,49,66,0,12,7,0,48,35,1,309,389,5,11829
CALHOUN,19,456,732,0,430,496,0,7,4,0,4,1,0,0,0,0,3,4,0,24,29,4,2194
CAMDEN,20,1465,2239,3,7370,8247,12,91,160,1,210,281,1,22,28,0,123,201,0,1580,1728,10,23772
CANDLER,21,343,506,0,1503,1712,6,5,9,0,27,52,1,2,2,0,9,5,0,123,113,4,4422
CARROLL,22,3088,4831,10,19292,21945,43,138,185,1,404,533,1,44,42,1,229,365,3,1667,1861,13,54696
CATOOSA,23,260,345,0,13098,15509,56,96,119,1,121,185,0,27,25,0,83,98,0,1353,1367,22,32765
CHARLTON,24,300,475,0,1564,1731,2,16,10,0,15,5,0,5,1,0,11,20,1,207,209,1,4573
CHATHAM,25,16988,27997,35,33853,39638,104,941,1148,8,1239,1573,8,129,142,0,884,1150,5,3815,4480,92,134229
CHATTAHOOCHEE,26,186,249,0,449,474,0,3,14,0,36,31,0,1,3,0,10,20,0,60,48,3,1587
CHATTOOGA,27,242,371,0,3988,4604,6,10,18,0,42,35,0,8,10,0,22,33,0,349,368,1,10107
CHEROKEE,28,3217,4490,9,54772,61971,85,782,1100,4,2179,2929,11,103,123,0,901,1041,7,5637,5771,61,145193
CLARKE,29,4223,7109,14,15110,17518,84,392,549,6,792,1090,8,33,48,0,364,504,7,1854,2016,70,51791
CLAY,30,254,450,1,320,359,1,0,1,0,1,3,0,0,0,0,0,1,0,18,21,0,1430
CLAYTON,31,31130,50662,102,5696,7001,14,1462,1577,17,1658,2347,10,87,103,1,897,1549,7,3317,5070,61,112768
CLINCH,32,235,393,2,1011,1084,4,1,7,0,8,6,0,3,5,0,1,10,0,53,48,0,2871
COBB,33,38582,58410,87,110186,123115,180,6129,7166,27,7957,10817,33,335,362,0,3939,5598,27,10690,12808,234,396682
COFFEE,34,1259,2212,1,5016,5797,9,41,45,0,164,211,2,11,6,0,32,34,1,202,212,5,15260
COLQUITT,35,981,1709,2,5637,6498,12,37,46,0,177,288,0,9,7,0,45,83,1,285,319,9,16145
COLUMBIA,36,5619,7785,18,26285,29451,45,1065,1420,7,1018,1350,0,78,88,0,634,911,2,2458,2717,38,80989
COOK,37,589,1019,0,2488,2696,1,17,15,0,31,51,0,2,4,0,13,18,0,68,50,0,7062
COWETA,38,3957,6584,18,26208,29571,83,315,492,2,767,1073,3,38,46,0,397,477,5,3374,3778,37,77225
CRAWFORD,39,459,673,2,2283,2373,1,2,12,0,12,18,0,7,4,0,25,25,0,118,115,1,6130
CRISP,40,858,1681,4,2383,2808,3,22,22,0,22,32,0,3,0,0,15,20,0,92,91,5,8061
DADE,41,12,11,0,3158,3593,5,7,18,0,14,29,0,11,9,0,8,15,2,291,294,2,7479
DAWSON,42,36,26,0,7023,7700,7,38,49,0,111,136,0,18,18,0,55,50,0,433,452,5,16157
DECATUR,43,1380,2499,2,3221,3766,5,20,24,0,58,88,0,3,16,0,26,30,0,205,189,11,11543
DEKALB,44,69206,107031,44,64698,73898,61,5371,6420,10,4017,5256,2,243,311,0,3845,5625,16,12055,14850,67,373026
DODGE,45,630,1129,0,2880,3114,2,8,16,0,15,17,0,6,5,0,12,17,0,113,130,1,8095
DOOLY,46,626,1088,1,1062,1172,0,4,3,0,11,23,0,0,2,0,7,6,0,53,58,1,4117
DOUGHERTY,47,7947,14159,69,5048,6017,14,71,85,0,112,108,1,16,14,0,95,149,1,667,830,19,35422
DOUGLAS,48,12540,19101,51,12896,14816,24,292,399,3,976,1302,2,58,73,0,537,869,2,2310,3161,37,69449
EARLY,49,814,1434,3,1324,1468,1,5,8,0,7,6,0,1,5,0,7,9,0,65,62,0,5219
ECHOLS,50,14,36,0,606,675,1,1,1,0,24,30,0,6,2,0,5,6,0,22,20,0,1449
EFFINGHAM,51,1491,2219,4,11705,12787,30,81,125,1,249,296,3,40,37,0,136,146,0,1060,1255,20,31685
ELBERT,52,756,1326,0,3061,3515,2,19,26,1,37,49,0,1,10,0,25,29,0,186,168,8,9219
EMANUEL,53,841,1544,2,3059,3532,5,17,22,0,25,37,0,1,5,0,21,21,0,216,212,2,9562
EVANS,54,358,617,0,1392,1610,2,7,10,0,23,34,0,2,2,0,15,19,0,88,86,0,4265
FANNIN,55,4,7,0,6639,7322,11,12,34,0,35,57,0,16,24,1,44,35,2,335,331,2,14911
FAYETTE,56,7072,9384,31,20619,23101,68,711,941,7,808,1093,3,50,56,1,531,694,3,3243,3772,47,72235
FLOYD,57,1595,2768,3,15396,17804,27,162,201,3,424,547,2,22,19,0,100,138,1,1146,1227,12,41597
FORSYTH,58,1774,2315,15,39959,45256,195,4864,5224,36,1855,2424,12,116,151,2,1043,1219,8,11553,11694,268,129983
FRANKLIN,59,203,311,0,4581,4997,4,34,33,0,37,48,0,10,3,0,16,31,1,262,248,0,10819
FULTON,60,73955,113438,261,115672,123747,462,9797,10910,104,6154,7722,42,342,377,2,5067,6707,78,23956,27942,644,527379
GILMER,61,26,21,0,7320,7899,18,17,36,0,127,173,0,10,12,0,55,55,1,391,400,2,16563
GLASCOCK,62,28,51,0,684,760,1,2,2,0,0,1,0,0,1,0,2,3,0,21,17,0,1573
GLYNN,63,2735,4672,10,13803,16719,49,180,227,1,281,362,2,38,36,0,176,213,0,1232,1476,15,42227
GORDON,64,339,448,0,9848,11138,10,86,93,1,448,628,2,25,26,0,80,90,0,434,431,2,24129
GRADY,65,955,1649,3,3416,4032,7,12,19,0,63,69,0,8,7,0,33,38,1,189,234,3,10738
