,county,registered_A,registered_B,registered_C,registered_D,registered_E,registered_F,registered_G
0,APPLING,0.17900314621626098,0.7202351382679252,0.004967709885742673,0.02069879119059447,0.0012419274714356682,0.00703758900480212,0.06681569796323894
1,ATKINSON,0.18716687166871668,0.6730217302173022,0.001025010250102501,0.07728577285772857,0.0018450184501845018,0.006970069700697007,0.052685526855268554
2,BACON,0.12945914844649023,0.7843785960874569,0.002589182968929804,0.01596662830840046,0.0008630609896432681,0.005753739930955121,0.06098964326812428
3,BAKER,0.40638670166229224,0.5231846019247594,0.005249343832020997,0.010061242344706912,0.0008748906386701663,0.005249343832020997,0.048993875765529306
4,BALDWIN,0.4032885561183293,0.5173236438376275,0.009212361447551934,0.00866182191881377,0.0012478895984731704,0.007524040226088233,0.05274168685311605
5,BANKS,0.02071749562038236,0.8664787874171681,0.009216238860537742,0.02269784446644832,0.001980348846065961,0.00822606443750476,0.07068322035189276
6,BARROW,0.11385740902175957,0.698989795395108,0.026819137480129224,0.055552706698801774,0.002153735705861238,0.014153120352802421,0.08847409534553784
7,BARTOW,0.09708291274293089,0.7566794015051812,0.006644263572824962,0.03232689776778299,0.002338269680436477,0.01148690952301854,0.09344134520782489
8,BEN HILL,0.34436841131866097,0.5834103939337896,0.005270945071203995,0.017569816904013318,0.0012946180876641392,0.006750508599963011,0.04133530608470501
9,BERRIEN,0.10214437714846947,0.823702733671632,0.0035193976100834834,0.016205598297593715,0.003110165329841218,0.007366181044360779,0.04395154689801931
10,BIBB,0.5136434242319641,0.3899206075250259,0.01277183293061788,0.012055574732481878,0.002191922678633069,0.013574387297204005,0.055842250604073176
11,BLECKLEY,0.20177300536895992,0.7356723685853415,0.006492695717318017,0.007616431514546136,0.0011237357972281184,0.007366712448495442,0.03995505056811088
12,BRANTLEY,0.024593615766865997,0.9076054914511917,0.0016844942306072602,0.00530615682641287,0.0022740672113198013,0.006148403941716499,0.05238777057188579
13,BROOKS,0.3486703988803359,0.5661301609517145,0.0031490552834149755,0.017144856543037088,0.0018369489153254024,0.009447165850244927,0.05362141357592722
14,BRYAN,0.13033741867150855,0.6990770161900439,0.016068996822514753,0.035254955363897715,0.003268270540172492,0.017824179149644424,0.09816916326221818
15,BULLOCH,0.2393549593732466,0.6186696037073212,0.008312379210739594,0.01456744456682114,0.001475447309906278,0.012094511751626109,0.10552565408033915
16,BURKE,0.4356799715319376,0.4664017555305142,0.00338058240910978,0.009133503350928178,0.0019571792894846093,0.008599727181068738,0.07484728070695688
17,BUTTS,0.21767036892336886,0.6761734665401574,0.0029580845007534744,0.011888150918122453,0.002846458670536362,0.009097505162694648,0.0793659652843668
18,CALHOUN,0.5741656365883807,0.36032138442521633,0.008034610630407911,0.007416563658838072,0.0,0.003708281829419036,0.046353522867737945
19,CAMDEN,0.15452198947681922,0.5954283728779907,0.011515933684106026,0.02457063436910553,0.0025315199046957214,0.015213938250769384,0.19621761143651345
20,CANDLER,0.214190093708166,0.6470325747434181,0.0038673211363974415,0.026178789230998065,0.0010412018444146958,0.005206009222073479,0.1024840101145322
21,CARROLL,0.1682970467272347,0.7004786578990171,0.006157492390268839,0.021376954713386156,0.002172549201849571,0.013523247438250808,0.0879940516299928
22,CATOOSA,0.02119030720876001,0.8378992193044713,0.007543343810199736,0.010686403731116293,0.002108891817905303,0.007502788198316942,0.11306904592923046
23,CHARLTON,0.18660022148394242,0.6622369878183831,0.0048449612403100775,0.005398671096345515,0.0017995570321151717,0.00872093023255814,0.1303986710963455
24,CHATHAM,0.3566580169048689,0.4938643070472562,0.016940476879320245,0.028312762330361556,0.002648340447502771,0.018476069239636978,0.08310002715105333
25,CHATTAHOOCHEE,0.23375430539609643,0.5111366245694604,0.019747416762342134,0.0695752009184845,0.0020665901262916187,0.022043628013777267,0.14167623421354764
26,CHATTOOGA,0.06501007387508395,0.8089321692411015,0.003223640026863667,0.010476830087306918,0.001880456682337139,0.00893216924110141,0.1015446608462055
27,CHEROKEE,0.05760674696361387,0.7704668838219327,0.013665631391561244,0.04051713254046411,0.0017624927404489559,0.014837259803550235,0.10114385273842891
28,CLARKE,0.25834295787490125,0.5631268615889612,0.018855996595951614,0.03949911859461431,0.0016412376147346666,0.018138714971734242,0.10039511275910279
29,CLAY,0.5452003727865797,0.40307548928238585,0.002329916123019571,0.001863932898415657,0.00046598322460391424,0.001863932898415657,0.045200372786579686
30,CLAYTON,0.7015547841392461,0.10299711533760328,0.028871070258641763,0.04297658045274532,0.002425072116559918,0.025839730112941866,0.09533564758226178
31,CLINCH,0.2681061628430049,0.6558704453441295,0.0029239766081871343,0.007872244714349977,0.002699055330634278,0.005847953216374269,0.05668016194331984
32,COBB,0.26372054036834885,0.5434577950679198,0.03330942690416488,0.05616883752467019,0.0021978491332288095,0.026836894679425464,0.07430865632224205
33,COFFEE,0.26408560311284046,0.6294163424124514,0.005408560311284047,0.036070038910505836,0.001517509727626459,0.006926070038910506,0.05657587548638132
34,COLQUITT,0.22523275698270948,0.6477674330229907,0.00520615618468554,0.05145354360630819,0.0015580467414022421,0.009728291848755464,0.05905377161314839
35,COLUMBIA,0.16604694002865525,0.659898000955175,0.032365081531009074,0.034846830865797915,0.0026267312546905917,0.021380569011393874,0.0828358463532783
36,COOK,0.2680730867684703,0.6731397298967252,0.004943066466590167,0.018624768293759378,0.0009709594845087828,0.0072380616117927446,0.02701032747815341
37,COWETA,0.14730768877415087,0.677437136531094,0.011686128235045523,0.026835833785037712,0.001341332328865288,0.012577287385045063,0.12281459296076143
38,CRAWFORD,0.18666518254674977,0.7307435440783615,0.002894033837934105,0.009572573463935885,0.0026714158504007124,0.009238646482635797,0.05821460373998219
39,CRISP,0.40814307458143073,0.5289954337899543,0.006392694063926941,0.007914764079147641,0.001141552511415525,0.007001522070015221,0.04041095890410959
40,DADE,0.004685669660288949,0.8727840687231551,0.004529480671612652,0.008199921905505662,0.002577118313158922,0.004295197188598204,0.10292854353768059
41,DAWSON,0.006,0.8831111111111111,0.006222222222222222,0.018133333333333335,0.002533333333333333,0.007911111111111112,0.07608888888888889
42,DECATUR,0.3711457503697804,0.5495505745818637,0.004096029127318239,0.01723745591079759,0.0019911252702241437,0.0059733758106724315,0.0500056889293435
43,DEKALB,0.5065075014123999,0.3141107460958479,0.031848744184748874,0.027526103241196042,0.0021604486200330606,0.029168671925676383,0.08867778452009793
44,DODGE,0.25246367128779024,0.682729246701186,0.0033405712376816435,0.006430599632537164,0.000918657090362452,0.005595456823116753,0.04852179722732587
45,DOOLY,0.46903080872913994,0.4677471116816431,0.0033697047496790756,0.017169448010269577,0.0009627727856225931,0.0054557124518613605,0.03626444159178434
46,DOUGHERTY,0.644325290437891,0.25382782246053026,0.004781054512957998,0.00871313672922252,0.0014149538278224606,0.009666368781650283,0.07727137324992553
47,DOUGLAS,0.4502592412995636,0.3774385467566862,0.010640083554030363,0.03885821925472789,0.0025364616360177552,0.022921406990189862,0.09734604050878436
