,county,registered_A,registered_B,registered_C,registered_D,registered_E,registered_F,registered_G
0,APPLING,2162,8699,60,250,15,85,807
1,ATKINSON,913,3283,5,377,9,34,257
2,BACON,900,5453,18,111,6,40,424
3,BAKER,929,1196,12,23,2,12,112
4,BALDWIN,10988,14095,251,236,34,205,1437
5,BANKS,272,11376,121,298,26,108,928
6,BARROW,6661,40893,1569,3250,126,828,5176
7,BARTOW,7598,59220,520,2530,183,899,7313
8,BEN HILL,3724,6309,57,190,14,73,447
9,BERRIEN,1248,10064,43,198,38,90,537
10,BIBB,59521,45184,1480,1397,254,1573,6471
11,BLECKLEY,1616,5892,52,61,9,59,320
12,BRANTLEY,292,10776,20,63,27,73,622
13,BROOKS,3986,6472,36,196,21,108,613
14,BRYAN,4307,23101,531,1165,108,589,3244
15,BULLOCH,11518,29771,400,701,71,582,5078
16,BURKE,7346,7864,57,154,33,145,1262
17,BUTTS,3900,12115,53,213,51,163,1422
18,CALHOUN,1858,1166,26,24,0,12,150
19,CAMDEN,6226,23991,464,990,102,613,7906
20,CANDLER,1440,4350,26,176,7,35,689
21,CARROLL,14486,60293,530,1840,187,1164,7574
22,CATOOSA,1045,41321,372,527,104,370,5576
23,CHARLTON,1348,4784,35,39,13,63,942
24,CHATHAM,80130,110956,3806,6361,595,4151,18670
25,CHATTAHOOCHEE,1018,2226,86,303,9,96,617
26,CHATTOOGA,968,12045,48,156,28,133,1512
27,CHEROKEE,11407,152564,2706,8023,349,2938,20028
28,CLARKE,21250,46320,1551,3249,135,1492,8258
29,CLAY,1170,865,5,4,1,4,97
30,CLAYTON,143489,21066,5905,8790,496,5285,19499
31,CLINCH,1192,2916,13,35,12,26,252
32,COBB,148188,305376,18717,31562,1235,15080,41755
33,COFFEE,6787,16176,139,927,39,178,1454
34,COLQUITT,5927,17046,137,1354,41,256,1554
35,COLUMBIA,19470,77377,3795,4086,308,2507,9713
36,COOK,3037,7626,56,211,11,82,306
37,COWETA,16034,73737,1272,2921,146,1369,13368
38,CRAWFORD,1677,6565,26,86,24,83,523
39,CRISP,5363,6951,84,104,15,92,531
40,DADE,60,11176,58,105,33,55,1318
41,DAWSON,135,19870,140,408,57,178,1712
42,DECATUR,6524,9660,72,303,35,105,879
43,DEKALB,290478,180140,18265,15786,1239,16728,50856
44,DODGE,3023,8175,40,77,11,67,581
45,DOOLY,2923,2915,21,107,6,34,226
46,DOUGHERTY,43260,17042,321,585,95,649,5188
47,DOUGLAS,48284,40475,1141,4167,272,2458,10439
48,EARLY,3749,3634,23,28,9,30,279
49,ECHOLS,105,1858,6,177,14,21,107
50,EFFINGHAM,5732,34704,323,1011,136,506,4632
51,ELBERT,3288,8613,73,149,16,101,722
52,EMANUEL,4239,8776,47,130,15,86,1352
53,EVANS,1697,3949,35,150,8,62,550
54,FANNIN,55,19361,68,169,69,130,1138
55,FAYETTE,21516,56703,2401,2922,167,1778,10682
56,FLOYD,7780,46051,585,1789,89,487,5492
57,FORSYTH,5726,109780,12691,6293,373,3201,32939
58,FRANKLIN,1053,13309,109,167,26,107,1105
59,FULTON,352257,324683,30105,23489,1670,20710,95344
60,GILMER,84,21114,87,606,50,183,1388
61,GLASCOCK,130,1862,5,3,1,8,96
62,GLYNN,13747,43526,673,1409,141,792,5485
63,GORDON,1411,30216,296,2072,88,353,2755
64,GRADY,4334,10067,53,307,33,136,908
65,GREENE,3949,9642,94,195,11,94,894
66,GWINNETT,173874,247762,58304,57110,1477,20145,63752
67,HABERSHAM,644,24985,409,1230,44,237,2176
68,HALL,9278,93550,1815,13517,224,1679,15654
69,HANCOCK,4121,1624,12,16,5,39,328
70,HARALSON,852,19021,112,119,48,141,1292
71,HARRIS,3896,20271,229,494,47,329,1693
72,HART,2596,13764,152,144,18,107,1037
73,HEARD,711,6763,33,53,20,84,452
74,HENRY,80686,68407,3733,5950,331,5977,16555
75,HOUSTON,34415,64074,2464,2988,238,2006,8584
