,county,registered_A_a,registered_A_b,registered_A_c,registered_B_a,registered_B_b,registered_B_c,registered_C_a,registered_C_b,registered_C_c,registered_D_a,registered_D_b,registered_D_c,registered_E_a,registered_E_b,registered_E_c,registered_F_a,registered_F_b,registered_F_c,registered_G_a,registered_G_b,registered_G_c,total_registers
0,APPLING,967,1195,0,4077,4618,4,30,30,0,119,131,0,10,5,0,31,54,0,429,375,3,12078
1,ATKINSON,400,512,1,1537,1745,1,2,3,0,169,206,2,2,7,0,16,18,0,120,134,3,4878
2,BACON,340,559,1,2543,2905,5,8,10,0,58,53,0,3,3,0,18,22,0,235,188,1,6952
3,BAKER,412,517,0,575,621,0,5,7,0,8,15,0,1,1,0,5,7,0,61,51,0,2286
4,BALDWIN,4601,6382,5,6592,7489,14,110,141,0,107,128,1,18,15,1,85,120,0,772,661,4,27246
5,BANKS,149,121,2,5578,5788,10,56,64,1,154,144,0,15,11,0,59,49,0,517,407,4,13129
6,BARROW,3019,3634,8,19501,21337,55,761,802,6,1547,1694,9,61,65,0,376,451,1,2721,2431,24,58503
7,BARTOW,3480,4111,7,28395,30757,68,256,262,2,1243,1287,0,89,94,0,447,450,2,3857,3430,26,78263
8,BEN HILL,1504,2216,4,2928,3376,5,29,28,0,83,107,0,7,7,0,30,43,0,216,227,4,10814
9,BERRIEN,563,684,1,4831,5222,11,21,22,0,96,102,0,19,19,0,48,41,1,283,249,5,12218
10,BIBB,25940,33525,56,21100,24033,51,756,718,6,611,784,2,129,124,1,689,876,8,3358,3059,54,115880
11,BLECKLEY,673,943,0,2816,3074,2,28,24,0,28,33,0,6,3,0,25,34,0,160,158,2,8009
12,BRANTLEY,136,156,0,5138,5629,9,10,10,0,31,32,0,17,10,0,30,43,0,368,252,2,11873
13,BROOKS,1767,2219,0,3131,3338,3,11,25,0,83,113,0,7,14,0,50,57,1,304,309,0,11432
14,BRYAN,1956,2343,8,11019,12052,30,231,298,2,530,633,2,62,46,0,255,332,2,1607,1611,26,33045
15,BULLOCH,4864,6642,12,14134,15600,37,186,214,0,332,368,1,39,31,1,258,323,1,2710,2350,18,48121
