,county,voted_A,voted_B,voted_C,voted_D,voted_E,voted_F,voted_G
0,APPLING,1307,6582,35,109,9,34,327
1,ATKINSON,593,2309,3,161,3,12,86
2,BACON,401,4011,11,48,3,17,183
3,BAKER,598,891,10,10,2,4,46
4,BALDWIN,6877,10496,149,143,16,104,557
5,BANKS,136,8008,61,158,14,54,386
6,BARROW,4129,28610,607,1762,67,458,2440
7,BARTOW,4219,40931,328,1327,91,465,3282
8,BEN HILL,2000,4274,36,81,6,35,164
9,BERRIEN,654,6712,20,85,16,36,249
10,BIBB,34367,31856,878,659,116,735,2601
11,BLECKLEY,928,4574,31,29,6,37,125
12,BRANTLEY,167,7220,12,32,16,46,232
13,BROOKS,2168,4445,24,89,10,63,306
14,BRYAN,2743,15594,315,639,63,334,1600
15,BULLOCH,6092,21198,236,357,37,303,2003
16,BURKE,4547,5550,32,73,16,73,460
17,BUTTS,2362,8515,31,115,19,84,703
18,CALHOUN,1188,926,11,5,0,7,57
19,CAMDEN,3707,15629,252,492,50,324,3318
20,CANDLER,849,3221,14,80,4,14,240
21,CARROLL,7929,41280,324,938,87,597,3541
22,CATOOSA,605,28663,216,306,52,181,2742
23,CHARLTON,775,3297,26,20,6,32,417
24,CHATHAM,45020,73595,2097,2820,271,2039,8387
25,CHATTAHOOCHEE,435,923,17,67,4,30,111
26,CHATTOOGA,613,8598,28,77,18,55,718
27,CHEROKEE,7716,116828,1886,5119,226,1949,11469
28,CLARKE,11346,32712,947,1890,81,875,3940
29,CLAY,705,680,1,4,0,1,39
30,CLAYTON,81894,12711,3056,4015,191,2453,8448
31,CLINCH,630,2099,8,14,8,11,101
32,COBB,97079,233481,13322,18807,697,9564,23732
33,COFFEE,3472,10822,86,377,17,67,419
34,COLQUITT,2692,12147,83,465,16,129,613
35,COLUMBIA,13422,55781,2492,2368,166,1547,5213
36,COOK,1608,5185,32,82,6,31,118
37,COWETA,10559,55862,809,1843,84,879,7189
38,CRAWFORD,1134,4657,14,30,11,50,234
39,CRISP,2543,5194,44,54,3,35,188
40,DADE,23,6756,25,43,20,25,587
41,DAWSON,62,14730,87,247,36,105,890
42,DECATUR,3881,6992,44,146,19,56,405
43,DEKALB,176281,138657,11801,9275,554,9486,26972
44,DODGE,1759,5996,24,32,11,29,244
45,DOOLY,1715,2234,7,34,2,13,112
46,DOUGHERTY,22175,11079,156,221,30,245,1516
47,DOUGLAS,31692,27736,694,2280,131,1408,5508
48,EARLY,2251,2793,13,13,6,16,127
49,ECHOLS,50,1282,2,54,8,11,42
50,EFFINGHAM,3714,24522,207,548,77,282,2335
51,ELBERT,2082,6578,46,86,11,54,362
52,EMANUEL,2387,6596,39,62,6,42,430
53,EVANS,975,3004,17,57,4,34,174
54,FANNIN,11,13972,46,92,41,81,668
55,FAYETTE,16487,43788,1659,1904,107,1228,7062
56,FLOYD,4366,33227,366,973,41,239,2385
57,FORSYTH,4104,85410,10124,4291,269,2270,23515
58,FRANKLIN,514,9582,67,85,13,48,510
59,FULTON,187654,239881,20811,13918,721,11852,52542
60,GILMER,47,15237,53,300,22,111,793
61,GLASCOCK,79,1445,4,1,1,5,38
62,GLYNN,7417,30571,408,645,74,389,2723
63,GORDON,787,20996,180,1078,51,170,867
64,GRADY,2607,7455,31,132,15,72,426
65,GREENE,2497,8001,67,107,6,54,585
66,GWINNETT,115401,182543,36394,33126,838,12520,35781
67,HABERSHAM,309,18355,164,534,20,123,1004
68,HALL,5362,69346,1083,6651,138,948,7109
69,HANCOCK,2757,1228,8,9,4,19,153
70,HARALSON,438,13104,69,67,21,70,528
71,HARRIS,2781,15607,152,323,35,203,1008
72,HART,1575,10450,107,78,13,54,533
73,HEARD,434,4692,24,33,14,39,174
74,HENRY,55835,48637,2253,3262,170,3534,9873
75,HOUSTON,21689,44994,1534,1634,115,1105,4073
76,IRWIN,789,3236,17,30,7,8,93
77,JACKSON,2040,31689,437,1111,49,349,2170
78,JASPER,1172,6234,17,55,11,32,126
79,JEFF DAVIS,737,4769,12,106,5,16,148
80,JEFFERSON,3631,3589,11,27,6,37,382
81,JENKINS,1111,2165,9,10,2,10,153
82,JOHNSON,1107,2907,16,5,2,5,74
83,JONES,3623,10850,64,87,22,105,274
84,LAMAR,1864,6630,25,53,16,63,418
85,LANIER,689,2612,25,60,12,36,155
86,LAURENS,6717,14865,162,142,21,168,735
87,LEE,3087,12375,220,164,23,114,797
88,LIBERTY,10089,7877,355,1018,53,446,1639
89,LINCOLN,1141,3237,10,14,7,21,238
90,LONG,1405,3423,65,226,21,113,432
91,LOWNDES,13920,28865,548,883,126,960,1201
92,LUMPKIN,86,14277,65,203,66,115,800
93,MACON,2630,1813,47,34,1,8,134
94,MADISON,1160,12569,146,200,27,103,786
95,MARION,1059,2365,23,55,6,26,110
