"GEORGIA SECRETARY OF STATE
SSVRZ376R3 VOTER REGISTRATION SYSTEM SECRETARY OF STATE
ACTIVE/INACTIVE VOTERS BY RACE/GENDER/DISTRICT
GENERAL ELECTION VOTING HISTORY SUMMARY
ELECTION DATE: NOVEMBER 03, 2020 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTY NAME,COUNTY CODE,BLACK MALE,,,BLACK FEMALE,,,BLACK UNKNOWN,,,WHITE MALE,,,WHITE FEMALE,,,WHITE UNKNOWN,,,ASIA-PI MALE,,,ASIA-PI FEMALE,,,ASIA-PI UNKNOWN,,,HISP-LT MALE,,,HISP-LT FEMALE,,,HISP-LT UNKNOWN,,,NATIVE-AM MALE,,,NATIVE-AM FEMALE,,,NATIVE-AM UNKNOWN,,,OTHER MALE,,,OTHER FEMALE,,,OTHER UNKNOWN,,,UNKNOWN MALE,,,UNKNOWN FEMALE,,,UNKNOWN,,,TOTAL VOTERS,,
,,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%,Reg #,Voted,%
APPLING,001,967,502,51.91,1195,805,67.36,0,0,0,4077,3045,74.69,4618,3534,76.53,4,3,75,30,17,56.67,30,18,60,0,0,0,119,46,38.66,131,63,48.09,0,0,0,10,7,70,5,2,40,0,0,0,31,11,35.48,54,23,42.59,0,0,0,429,166,38.69,375,160,42.67,3,1,33.33,12078,8403,69.57
ATKINSON,002,400,234,58.50,512,358,69.92,1,1,100,1537,1062,69.1,1745,1246,71.4,1,1,100,2,2,100,3,1,33.33,0,0,0,169,67,39.64,206,93,45.15,2,1,50,2,1,50,7,2,28.57,0,0,0,16,6,37.5,18,6,33.33,0,0,0,120,33,27.5,134,52,38.81,3,1,33.33,4878,3167,64.92
BACON,003,340,132,38.82,559,269,48.12,1,0,0,2543,1845,72.55,2905,2164,74.49,5,2,40,8,5,62.5,10,6,60,0,0,0,58,24,41.38,53,24,45.28,0,0,0,3,1,33.33,3,2,66.67,0,0,0,18,5,27.78,22,12,54.55,0,0,0,235,97,41.28,188,86,45.74,1,0,0,6952,4674,67.23
BAKER,004,412,237,57.52,517,361,69.83,0,0,0,575,440,76.52,621,451,72.62,0,0,0,5,4,80,7,6,85.71,0,0,0,8,5,62.5,15,5,33.33,0,0,0,1,1,100,1,1,100,0,0,0,5,1,20,7,3,42.86,0,0,0,61,17,27.87,51,29,56.86,0,0,0,2286,1561,68.29
