county,BLACK MALE,BLACK FEMALE,BLACK UNKNOWN,WHITE MALE,WHITE FEMALE,WHITE UNKNOWN,ASIA-PI MALE,ASIA-PI FEMALE,ASIA-PI UNKNOWN,HISP-LT MALE,HISP-LT FEMALE,HISP-LT UNKNOWN,NATIVE-AM MALE,NATIVE-AM FEMALE,NATIVE-AM UNKNOWN,OTHER MALE,OTHER FEMALE,OTHER UNKNOWN,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN
APPLING,51.91,67.36,0,74.69,76.53,75,56.67,60,0,38.66,48.09,0,70,40,0,35.48,42.59,0,38.69,42.67,33.33
ATKINSON,58.50,69.92,100,69.1,71.4,100,100,33.33,0,39.64,45.15,50,50,28.57,0,37.5,33.33,0,27.5,38.81,33.33
BACON,38.82,48.12,0,72.55,74.49,40,62.5,60,0,41.38,45.28,0,33.33,66.67,0,27.78,54.55,0,41.28,45.74,0
BAKER,57.52,69.83,0,76.52,72.62,0,80,85.71,0,62.5,33.33,0,100,100,0,20,42.86,0,27.87,56.86,0
BALDWIN,55.73,67.53,60,74.1,74.79,71.43,55.45,62.41,0,57.01,64.06,0,44.44,53.33,0,49.41,51.67,0,33.42,44.93,50
BANKS,42.95,58.68,50,69.33,71.44,60,46.43,53.12,100,53.25,52.78,0,53.33,54.55,0,47.46,53.06,0,41.78,41.28,50
BARROW,53.56,68.96,75,68.31,71.45,80,33.25,43.52,83.33,47.77,60.09,55.56,54.1,52.31,0,49.73,60.09,0,43.55,50.93,70.83
BARTOW,47.70,62.13,71.43,68.1,70.05,72.06,59.77,66.41,50,48.27,56.49,0,49.44,50,0,46.31,57.11,50,42.65,47.38,46.15
BEN HILL,44.81,59.75,50,67.04,68.34,80,65.52,60.71,0,32.53,50.47,0,28.57,57.14,0,43.33,51.16,0,33.8,39.65,25
BERRIEN,42.98,60.09,100,66.22,67.14,63.64,42.86,50,0,36.46,49.02,0,47.37,36.84,0,39.58,39.02,100,42.05,51,60
BIBB,49.23,64.38,25,69.14,71.75,49.02,58.33,60.45,50,40.92,52.04,50,37.21,54.84,0,41.8,50.8,25,35.77,45.15,35.19
BLECKLEY,49.48,63.1,0,77.1,78.14,50,53.57,66.67,0,50,45.45,0,66.67,66.67,0,64,61.76,0,42.5,35.44,50
BRANTLEY,44.12,68.59,0,66.15,67.81,44.44,60,60,0,51.61,50,0,58.82,60,0,66.67,60.47,0,34.78,40.48,100
BROOKS,46.24,60.88,0,67.26,69.98,100,72.73,64,0,36.14,52.21,0,28.57,57.14,0,52,63.16,100,44.08,55.66,0
BRYAN,59.51,67.14,75,66.32,68.56,76.67,58.87,59.73,50,52.45,56.87,50,58.06,58.7,0,50.98,61.14,50,46.11,52.14,73.08
BULLOCH,46.83,57.3,66.67,70.38,71.97,64.86,51.08,65.89,0,48.19,53.53,0,48.72,54.84,100,51.94,52.32,0,37.82,41.19,55.56
BURKE,54.36,67.68,40,70.36,70.82,54.55,50,61.29,0,36,58.97,0,50,46.15,0,53.97,48.15,0,30.4,44.74,33.33
BUTTS,51.52,68.15,60,68.99,71.51,58.33,40,69.7,0,44.95,63.46,0,35.29,41.18,0,54.55,47.3,100,42.68,56.13,100
CALHOUN,58.39,68.09,0,77.48,81.31,0,53.85,30.77,0,30.77,9.09,0,0,0,0,42.86,80,0,32.43,40.85,80
CAMDEN,54.28,63.54,100,65.73,64.62,75,48.4,58.18,100,50.85,48.87,50,45.83,51.85,0,45.9,58.26,0,38.98,45.01,71.43
CANDLER,53.68,63.25,0,73.42,74.63,66.67,41.67,64.29,0,39.71,48.6,100,50,66.67,0,45,33.33,0,35.96,33.04,80
CARROLL,47.20,60.94,66.67,66.94,69.86,68.25,57.5,64.01,100,45.8,55.81,33.33,48.35,44.21,100,46.45,54.8,60,43.55,50.01,52
CATOOSA,51.18,64.37,0,68.42,70.16,75.68,52.75,62.96,100,53.3,61.87,0,49.09,51.02,0,46.89,50.78,0,47.98,50.17,70.97
CHARLTON,51.11,62.42,0,69.79,68.18,50,84.21,62.5,0,75,26.32,0,62.5,20,0,37.93,60.61,100,39.81,49.64,100
CHATHAM,47.59,63.16,33.98,64.44,68.03,65.82,52.87,56.94,80,41.01,47.34,47.06,40.57,51.26,0,45.92,51.97,38.46,40.88,49.03,46
