,county,tweets
0,BALDWIN,2
1,BARTOW,49
2,BERRIEN,2
3,BROOKS,8
4,BULLOCH,2
5,Bibb,36
6,CAMDEN,8
7,CARROLL,2
8,CHATHAM,2
9,CHATTOOGA,16
10,COBB,347
11,COWETA,2
12,Chatham,162
13,Clarke,6
14,Cobb,102
15,DADE,6
16,DAWSON,2
17,DEKALB,22
18,DODGE,84
19,EMANUEL,2
20,FANNIN,2
21,FULTON,72
22,Fayette,4
23,Fulton,4902
24,GILMER,4
25,GWINNETT,154
26,HARRIS,2
27,HENRY,118
28,LAURENS,2
29,LIBERTY,6
30,LONG,104
31,LOWNDES,6
32,LUMPKIN,12
33,Lowndes,6
34,ROCKDALE,8
35,Richmond,64
36,TOOMBS,4
37,Tift,8
38,UNKNOWN,2
39,WALKER,24
40,WALTON,6
