,county,contribution
0,APPLING,235818
1,ATKINSON,93026
2,BACON,173074
3,BAKER,72226
4,BALDWIN,927608
5,BANKS,372006
6,BARROW,1153644
7,BARTOW,1890300
8,BEN HILL,314126
9,BERRIEN,374028
10,BIBB,5256286
11,BLECKLEY,146430
12,BRANTLEY,72142
13,BROOKS,240318
14,BRYAN,1639194
15,BULLOCH,1504618
16,BURKE,210258
17,BUTTS,385188
18,CALHOUN,271464
19,CAMDEN,834516
20,CANDLER,63416
21,CARROLL,3923672
22,CATOOSA,714076
23,CHARLTON,134262
24,CHATHAM,12861548
25,CHATTAHOOCHEE,27018
26,CHATTOOGA,342126
27,CHEROKEE,9002114
28,CLARKE,7475102
29,CLAY,68346
30,CLAYTON,2293510
31,CLINCH,215824
32,COBB,34328088
33,COFFEE,1081070
34,COLQUITT,1043270
35,COLUMBIA,5171700
36,COOK,166780
37,COWETA,3306882
38,CRAWFORD,187062
39,CRISP,365570
40,DADE,196834
41,DAWSON,880914
42,DE KALB,44621550
43,DECATUR,694178
44,DODGE,143112
45,DOOLY,156472
46,DOUGHERTY,1674618
47,DOUGLAS,1993788
48,EARLY,148128
49,ECHOLS,14030
50,EFFINGHAM,740434
51,ELBERT,238450
52,EMANUEL,214904
53,EVANS,217458
54,FANNIN,896944
55,FAYETTE,6359410
56,FLOYD,3705328
57,FORSYTH,6657166
58,FRANKLIN,371282
59,FULTON,262085554
60,GILMER,920402
61,GLASCOCK,27542
62,GLYNN,4895706
63,GORDON,752856
64,GRADY,286776
65,GREENE,1901252
66,GWINNETT,22233656
67,HABERSHAM,1152924
68,HALL,3557668
69,HANCOCK,41832
70,HARALSON,190691
71,HARRIS,788620
72,HART,896810
73,HEARD,61882
74,HENRY,5963062
75,HOUSTON,1349619
76,IRWIN,268610
77,JACKSON,1973002
78,JASPER,374846
79,JEFF DAVIS,115704
80,JEFFERSON,162520
81,JENKINS,45142
82,JOHNSON,91682
83,JONES,421224
84,LAMAR,189896
85,LANIER,58544
86,LAURENS,1176060
87,LEE,440008
88,LIBERTY,1037860
89,LINCOLN,225474
90,LONG,73532
91,LOWNDES,1953956
92,LUMPKIN,858344
93,MACON,102382
94,MADISON,455596
95,MARION,35340
96,MC DUFFIE,253460
97,MC INTOSH,264934
98,MERIWETHER,179486
99,MILLER,87546
100,MITCHELL,515316
101,MONROE,346302
102,MONTGOMERY,54500
103,MORGAN,707646
104,MURRAY,280126
105,MUSCOGEE,9292600
106,NEWTON,1309414
107,OCONEE,2769018
108,OGLETHORPE,115220
109,PAULDING,1365510
110,PEACH,389026
111,PICKENS,1380396
112,PIERCE,377758
113,PIKE,168892
114,POLK,399524
115,PULASKI,360128
116,PUTNAM,727114
117,QUITMAN,15152
118,RABUN,1281968
119,RANDOLPH,83550
120,RICHMOND,4709058
121,ROCKDALE,1596014
122,SCHLEY,38684
123,SCREVEN,161486
124,SEMINOLE,199928
125,SPALDING,1055092
126,STEPHENS,778336
127,STEWART,49552
128,SUMTER,543160
129,TALBOT,165644
130,TALIAFERRO,22944
131,TATTNALL,257648
132,TAYLOR,85638
133,TELFAIR,103956
134,TERRELL,154118
135,THOMAS,4499292
136,TIFT,991860
137,TOOMBS,457862
138,TOWNS,558604
139,TREUTLEN,57236
140,TROUP,1614180
141,TURNER,143434
142,TWIGGS,37246
143,UNION,876024
144,UPSON,508932
145,WALKER,1759058
146,WALTON,2098646
147,WARE,514606
148,WARREN,20834
149,WASHINGTON,548866
150,WAYNE,568980
151,WEBSTER,19084
152,WHEELER,53052
153,WHITE,668140
154,WHITFIELD,4216384
155,WILCOX,101176
156,WILKES,142526
157,WILKINSON,92444
158,WORTH,230358
