,county,registered_A_a,registered_A_b,registered_A_c,registered_B_a,registered_B_b,registered_B_c,registered_C_a,registered_C_b,registered_C_c,registered_D_a,registered_D_b,registered_D_c,registered_E_a,registered_E_b,registered_E_c,registered_F_a,registered_F_b,registered_F_c,registered_G_a,registered_G_b,registered_G_c
0,APPLING,0.0800629243252194,0.09894022189104157,0.0,0.3375558867362146,0.38234807087266104,0.0003311806590495115,0.0024838549428713363,0.0024838549428713363,0.0,0.009852624606722968,0.010846166583871502,0.0,0.0008279516476237788,0.0004139758238118894,0.0,0.002566650107633714,0.004470938897168405,0.0,0.03551912568306011,0.031048186785891704,0.00024838549428713363
1,ATKINSON,0.08200082000820008,0.1049610496104961,0.0002050020500205002,0.3150881508815088,0.35772857728577284,0.0002050020500205002,0.0004100041000410004,0.0006150061500615006,0.0,0.03464534645346454,0.04223042230422304,0.0004100041000410004,0.0004100041000410004,0.0014350143501435015,0.0,0.003280032800328003,0.0036900369003690036,0.0,0.024600246002460024,0.027470274702747027,0.0006150061500615006
2,BACON,0.048906789413118525,0.08040851553509781,0.00014384349827387802,0.3657940161104718,0.4178653624856157,0.0007192174913693901,0.0011507479861910242,0.0014384349827387803,0.0,0.008342922899884924,0.007623705408515535,0.0,0.00043153049482163404,0.00043153049482163404,0.0,0.002589182968929804,0.0031645569620253164,0.0,0.03380322209436133,0.02704257767548907,0.00014384349827387802
3,BAKER,0.18022747156605423,0.22615923009623798,0.0,0.2515310586176728,0.27165354330708663,0.0,0.0021872265966754157,0.0030621172353455816,0.0,0.003499562554680665,0.006561679790026247,0.0,0.0004374453193350831,0.0004374453193350831,0.0,0.0021872265966754157,0.0030621172353455816,0.0,0.02668416447944007,0.02230971128608924,0.0
4,BALDWIN,0.16886882478161933,0.23423621816046392,0.00018351317624605446,0.2419437715627982,0.27486603538134036,0.0005138368934889525,0.004037289877413198,0.0051750715701387355,0.0,0.003927181971665566,0.004697937311898995,3.6702635249210895e-05,0.0006606474344857961,0.0005505395287381634,3.6702635249210895e-05,0.003119723996182926,0.004404316229905308,0.0,0.02833443441239081,0.0242604418997284,0.00014681054099684358
5,BANKS,0.01134892223322416,0.009216238860537742,0.00015233452662045854,0.4248609947444588,0.440856120039607,0.0007616726331022926,0.004265366745372839,0.004874704851854673,7.616726331022927e-05,0.011729758549775307,0.010968085916673014,0.0,0.001142508949653439,0.0008378398964125218,0.0,0.004493868535303526,0.003732195902201234,0.0,0.03937847513138853,0.03100007616726331,0.0003046690532409171
6,BARROW,0.051604191238056166,0.062116472659521735,0.0001367451241816659,0.3333333333333333,0.36471633933302566,0.000940122728748953,0.01300787993778097,0.013708698699212006,0.00010255884313624942,0.026443088388629642,0.028955780045467755,0.00015383826470437414,0.0010426815718852026,0.0011110541339760353,0.0,0.006427020836538297,0.0077090063757414146,1.7093140522708237e-05,0.04651043536228911,0.04155342461070372,0.0004102353725449977
7,BARTOW,0.04446545621813629,0.05252801451516042,8.944200963418218e-05,0.3628151233660861,0.3929954129026488,0.0008688652364463412,0.0032710220666215197,0.0033476866463079615,2.5554859895480622e-05,0.015882345425041206,0.01644455234274178,0.0,0.0011371912653488877,0.0012010784150875893,0.0,0.0057115111866399195,0.00574984347648314,2.5554859895480622e-05,0.04928254730843438,0.04382658472074927,0.0003322131786412481
8,BEN HILL,0.13907897170334751,0.20491954873312374,0.000369890882189754,0.27076012576289993,0.3121879045681524,0.00046236360273719255,0.0026817088958757166,0.0025892361753282783,0.0,0.007675235805437396,0.00989458109857592,0.0,0.0006473090438320696,0.0006473090438320696,0.0,0.0027741816164231553,0.003976326983539856,0.0,0.019974107638246717,0.020991307564268542,0.000369890882189754
9,BERRIEN,0.0460795547552791,0.055982975937141924,8.18464560484531e-05,0.39540022917007694,0.4274021934850221,0.0009003110165329841,0.0017187755770175152,0.0018006220330659681,0.0,0.007857259780651498,0.008348338516942217,0.0,0.001555082664920609,0.001555082664920609,0.0,0.003928629890325749,0.003355704697986577,8.18464560484531e-05,0.023162547061712228,0.020379767556064823,0.0004092322802422655
10,BIBB,0.22385226095961339,0.28930790472903,0.00048325854332067656,0.1820849154297549,0.20739558163617536,0.00044011045909561614,0.0065239903348291335,0.006196064894718674,5.177770107007249e-05,0.005272695892302382,0.006765619606489472,1.725923369002416e-05,0.0011132205730065585,0.0010700724887814982,8.62961684501208e-06,0.005945806006213324,0.007559544356230584,6.903693476009665e-05,0.028978253365550568,0.026397997928891956,0.0004659993096306524
11,BLECKLEY,0.08403046572605818,0.11774253964290174,0.0,0.3516044449993757,0.3838182045199151,0.000249719066050693,0.0034960669247097015,0.0029966287926083157,0.0,0.0034960669247097015,0.004120364589836434,0.0,0.0007491571981520789,0.00037457859907603946,0.0,0.003121488325633662,0.00424522412286178,0.0,0.01997752528405544,0.019727806218004743,0.000249719066050693
12,BRANTLEY,0.01145456076812937,0.013139054998736629,0.0,0.43274656784300514,0.4741009012044134,0.0007580224037732671,0.0008422471153036301,0.0008422471153036301,0.0,0.0026109660574412533,0.002695190768971616,0.0,0.0014318200960161712,0.0008422471153036301,0.0,0.00252674134591089,0.003621662595805609,0.0,0.030994693843173587,0.02122462730565148,0.000168449423060726
