,county,fr_vote_A_a,fr_vote_A_b,fr_vote_A_c,fr_vote_B_a,fr_vote_B_b,fr_vote_B_c,fr_vote_C_a,fr_vote_C_b,fr_vote_C_c,fr_vote_D_a,fr_vote_D_b,fr_vote_D_c,fr_vote_E_a,fr_vote_E_b,fr_vote_E_c,fr_vote_F_a,fr_vote_F_b,fr_vote_F_c,fr_vote_G_a,fr_vote_G_b,fr_vote_G_c
0,APPLING,0.005191,0.006736,0.0,0.007469,0.007653,0.0075,0.005667,0.006,0.0,0.0038659999999999996,0.004809000000000001,0.0,0.006999999999999999,0.004,0.0,0.0035479999999999995,0.004259000000000001,0.0,0.0038689999999999996,0.004267,0.003333
1,ATKINSON,0.005849999999999999,0.006992000000000001,0.01,0.0069099999999999995,0.0071400000000000005,0.01,0.01,0.003333,0.0,0.0039640000000000005,0.004515,0.005,0.005,0.002857,0.0,0.00375,0.003333,0.0,0.0027500000000000003,0.003881,0.003333
2,BACON,0.003882,0.0048119999999999994,0.0,0.007254999999999999,0.007448999999999999,0.004,0.00625,0.006,0.0,0.004138,0.004528000000000001,0.0,0.003333,0.006667000000000001,0.0,0.002778,0.005455,0.0,0.004128,0.004574,0.0
3,BAKER,0.005752,0.0069830000000000005,0.0,0.007652,0.007262000000000001,0.0,0.008,0.008571,0.0,0.00625,0.003333,0.0,0.01,0.01,0.0,0.002,0.004286,0.0,0.002787,0.005686,0.0
4,BALDWIN,0.005573,0.006753,0.006,0.00741,0.007479,0.007143,0.005545,0.006241,0.0,0.0057009999999999995,0.006406,0.0,0.004444,0.005333,0.0,0.004941,0.005167000000000001,0.0,0.003342,0.004493,0.005
5,BANKS,0.004295,0.005868,0.005,0.006933,0.007143999999999999,0.006,0.0046429999999999996,0.005312,0.01,0.005325,0.005278000000000001,0.0,0.005333,0.005455,0.0,0.004746,0.005306000000000001,0.0,0.004178,0.004128,0.005
6,BARROW,0.0053560000000000005,0.006896,0.0075,0.006831,0.007145,0.008,0.0033250000000000003,0.004352,0.008333,0.004777,0.006009,0.005556,0.005410000000000001,0.005231,0.0,0.004973,0.006009,0.0,0.004355,0.0050929999999999994,0.007082999999999999
7,BARTOW,0.00477,0.006213000000000001,0.007143,0.006809999999999999,0.007005,0.007206000000000001,0.005977,0.006640999999999999,0.005,0.0048270000000000006,0.005649,0.0,0.004944,0.005,0.0,0.004631,0.005710999999999999,0.005,0.004265,0.004738,0.004614999999999999
8,BEN HILL,0.004481,0.005975,0.005,0.006704000000000001,0.006834,0.008,0.006552,0.006071,0.0,0.0032530000000000002,0.005047,0.0,0.002857,0.005714,0.0,0.004333,0.005115999999999999,0.0,0.0033799999999999998,0.003965,0.0025
9,BERRIEN,0.004298,0.006009,0.01,0.006622,0.006714,0.006364,0.004286,0.005,0.0,0.0036460000000000004,0.004902,0.0,0.004737,0.0036840000000000006,0.0,0.003958,0.0039020000000000005,0.01,0.0042049999999999995,0.0051,0.006
